Date,Close,Open,High,Low,Vol.,Change %
2025-02-18,15.665,15.7225,16.3225,14.78,,-0.37%
2025-02-19,15.42,15.665,16.0225,14.7525,,-1.56%
2025-02-20,14.6825,15.42,15.9025,14.6375,,-4.78%
2025-02-21,14.53,14.6825,15.2425,12.0825,,-1.04%
2025-02-24,14.4425,14.53,15.58,14.365,,-0.60%
2025-02-25,13.715,14.4425,15.0775,13.605,,-5.04%
2025-02-27,13.3075,13.715,14.0075,12.91,,-2.97%
2025-02-28,13.91,13.3075,14.1225,13.2325,,4.53%
2025-03-03,13.7625,13.91,14.36,13.5675,,-1.06%
2025-03-04,13.83,13.7625,14.1975,13.3725,,0.49%
2025-03-05,13.67,13.83,14.13,13.095,,-1.16%
2025-03-06,13.725,13.67,14.1775,13.28,,0.40%
2025-03-07,13.47,13.725,13.86,13.3325,,-1.86%
2025-03-10,13.985,13.47,14.2075,13.47,,3.82%
2025-03-11,14.0725,13.985,14.5025,13.675,,0.63%
2025-03-12,13.6925,14.0725,14.3725,13.635,,-2.70%
2025-03-13,13.28,13.6925,13.9275,13.2225,,-3.01%
2025-03-17,13.415,13.28,14.0975,13.28,,1.02%
2025-03-18,13.21,13.415,13.6525,11.3425,,-1.53%
2025-03-19,13.2975,13.21,13.5725,12.585,,0.66%
2025-03-20,12.6025,13.2975,13.2975,12.5125,,-5.23%
2025-03-21,12.575,12.6025,12.835,10.695,,-0.22%
2025-03-24,13.7,12.575,13.9525,12.575,,8.95%
2025-03-25,13.635,13.7,14.475,13.49,,-0.47%
2025-03-26,13.47,13.635,13.915,13.305,,-1.21%
2025-03-27,13.3,13.47,13.85,12.9775,,-1.26%
2025-03-28,12.7175,13.3,13.61,12.5725,,-4.38%
2025-04-01,13.7825,12.7175,14.0525,12.7175,,8.37%
2025-04-02,13.7225,13.7825,14.1425,13.5125,,-0.44%
2025-04-03,13.6,13.7225,14.1075,13.41,,-0.89%
2025-04-04,13.755,13.6,14.2475,13.395,,1.14%
2025-04-07,22.7925,13.755,23.1875,13.755,,65.70%
2025-04-08,20.4425,22.7925,22.7925,19.3825,,-10.31%
2025-04-09,21.43,20.4425,21.7475,19.6975,,4.83%
2025-04-11,20.1075,21.43,21.43,18.855,,-6.17%
2025-04-15,16.125,20.1075,20.1075,15.9725,,-19.81%
2025-04-16,15.865,16.125,16.125,15.115,,-1.61%
2025-04-17,15.4675,15.865,16.4625,15.09,,-2.51%
2025-04-21,15.515,15.4675,16.3325,14.2175,,0.31%
2025-04-22,15.23,15.515,16.0075,14.54,,-1.84%
2025-04-23,15.96,15.23,16.5175,12.8425,,4.79%
2025-04-24,16.25,15.96,16.7625,15.5525,,1.82%
2025-04-25,17.1575,16.25,17.575,15.915,,5.58%
2025-04-28,16.94,17.1575,18.0725,16.6225,,-1.27%
2025-04-29,17.37,16.94,17.585,16.065,,2.54%
2025-04-30,18.2225,17.37,18.56,15.985,,4.91%
2025-05-02,18.2575,18.2225,18.8625,17.35,,0.19%
2025-05-05,18.3375,18.2575,18.795,18.0675,,0.44%
2025-05-06,18.995,18.3375,19.3025,17.9875,,3.59%
2025-05-07,19.06,18.995,19.73,18.365,,0.34%
