direction,entry_time,exit_time,entry_price,exit_price,stop_loss_at_exit,pnl,exit_reason
short,2021-01-28 14:55:00+05:30,2021-01-28 15:00:00+05:30,13774.3,13792.693715205942,13792.693715205942,-18.39,STOP_LOSS
short,2021-01-29 12:20:00+05:30,2021-01-29 12:30:00+05:30,13803.05,13818.538380542914,13818.538380542914,-15.49,STOP_LOSS
short,2021-01-29 13:30:00+05:30,2021-01-29 14:10:00+05:30,13779.2,13795.644729444082,13795.644729444082,-16.44,STOP_LOSS
long,2021-02-01 14:05:00+05:30,2021-02-02 09:35:00+05:30,14150.6,14661.613482914936,14661.613482914936,511.01,TRAIL_SL
long,2021-02-02 10:55:00+05:30,2021-02-02 14:45:00+05:30,14574.85,14663.135666098555,14663.135666098555,88.29,TRAIL_SL
long,2021-02-03 11:10:00+05:30,2021-02-03 13:25:00+05:30,14791.55,14856.329616787007,14856.329616787007,64.78,TRAIL_SL
long,2021-02-03 13:50:00+05:30,2021-02-03 14:10:00+05:30,14850.7,14831.750958280882,14831.750958280882,-18.95,STOP_LOSS
long,2021-02-04 13:30:00+05:30,2021-02-04 15:15:00+05:30,14836.2,14893.1,14814.85071086308,56.9,EOD_EXIT
long,2021-02-05 09:45:00+05:30,2021-02-05 10:50:00+05:30,14955.55,14916.02377552284,14916.02377552284,-39.53,STOP_LOSS
long,2021-02-05 12:05:00+05:30,2021-02-05 13:10:00+05:30,14972.0,14949.929081785733,14949.929081785733,-22.07,STOP_LOSS
long,2021-02-08 10:50:00+05:30,2021-02-08 12:10:00+05:30,15115.85,15094.716584571313,15094.716584571313,-21.13,STOP_LOSS
long,2021-02-08 14:20:00+05:30,2021-02-08 14:55:00+05:30,15137.05,15116.680081900218,15116.680081900218,-20.37,STOP_LOSS
long,2021-02-09 13:50:00+05:30,2021-02-09 14:30:00+05:30,15238.05,15224.425816115363,15224.425816115363,-13.62,STOP_LOSS
short,2021-02-10 09:45:00+05:30,2021-02-10 10:40:00+05:30,15123.9,15025.258676089004,15025.258676089004,98.64,TRAIL_SL
short,2021-02-10 10:50:00+05:30,2021-02-10 11:00:00+05:30,15045.7,15066.38189309909,15066.38189309909,-20.68,STOP_LOSS
short,2021-02-10 11:05:00+05:30,2021-02-10 11:20:00+05:30,15054.5,15073.916768633688,15073.916768633688,-19.42,STOP_LOSS
long,2021-02-11 11:00:00+05:30,2021-02-11 11:10:00+05:30,15150.8,15134.121653386059,15134.121653386059,-16.68,STOP_LOSS
long,2021-02-12 09:55:00+05:30,2021-02-12 13:50:00+05:30,15188.25,15162.77883281026,15162.77883281026,-25.47,STOP_LOSS
short,2021-02-12 14:20:00+05:30,2021-02-12 15:15:00+05:30,15147.35,15168.165616705912,15168.165616705912,-20.82,STOP_LOSS
long,2021-02-15 11:00:00+05:30,2021-02-15 14:15:00+05:30,15306.5,15289.74681763775,15289.74681763775,-16.75,STOP_LOSS
long,2021-02-16 10:05:00+05:30,2021-02-16 11:25:00+05:30,15387.85,15364.385826135558,15364.385826135558,-23.46,STOP_LOSS
short,2021-02-16 13:25:00+05:30,2021-02-16 14:30:00+05:30,15293.5,15310.34724329165,15310.34724329165,-16.85,STOP_LOSS
short,2021-02-17 10:10:00+05:30,2021-02-17 10:55:00+05:30,15240.55,15256.836898746875,15256.836898746875,-16.29,STOP_LOSS
short,2021-02-17 13:50:00+05:30,2021-02-17 15:15:00+05:30,15217.3,15207.75,15232.478849078361,9.55,EOD_EXIT
short,2021-02-18 13:05:00+05:30,2021-02-18 14:20:00+05:30,15129.35,15142.89471578887,15142.89471578887,-13.54,STOP_LOSS
short,2021-02-19 09:55:00+05:30,2021-02-19 10:15:00+05:30,15086.2,15105.240909390182,15105.240909390182,-19.04,STOP_LOSS
short,2021-02-19 11:20:00+05:30,2021-02-19 11:45:00+05:30,15078.75,15093.330782219387,15093.330782219387,-14.58,STOP_LOSS
short,2021-02-19 14:30:00+05:30,2021-02-19 15:00:00+05:30,14972.1,14921.795221440998,14921.795221440998,50.3,TRAIL_SL
short,2021-02-22 10:40:00+05:30,2021-02-22 11:30:00+05:30,14910.9,14832.283186269091,14832.283186269091,78.62,TRAIL_SL
short,2021-02-22 12:30:00+05:30,2021-02-22 14:00:00+05:30,14799.05,14709.171787701993,14709.171787701993,89.88,TRAIL_SL
short,2021-02-23 12:20:00+05:30,2021-02-23 13:05:00+05:30,14747.2,14764.537744766667,14764.537744766667,-17.34,STOP_LOSS
long,2021-02-25 10:55:00+05:30,2021-02-25 11:35:00+05:30,15132.05,15111.660963476961,15111.660963476961,-20.39,STOP_LOSS
long,2021-02-25 13:50:00+05:30,2021-02-25 15:00:00+05:30,15129.25,15110.330397566902,15110.330397566902,-18.92,STOP_LOSS
short,2021-02-26 11:50:00+05:30,2021-02-26 12:45:00+05:30,14694.45,14583.666785518548,14583.666785518548,110.78,TRAIL_SL
short,2021-02-26 13:05:00+05:30,2021-02-26 13:55:00+05:30,14609.55,14634.426102511174,14634.426102511174,-24.88,STOP_LOSS
short,2021-03-01 12:10:00+05:30,2021-03-01 12:40:00+05:30,14708.65,14659.386787633975,14659.386787633975,49.26,TRAIL_SL
long,2021-03-02 14:25:00+05:30,2021-03-03 09:40:00+05:30,14843.05,15014.545364391404,15014.545364391404,171.5,TRAIL_SL
long,2021-03-03 11:00:00+05:30,2021-03-03 13:50:00+05:30,15070.15,15155.87895192738,15155.87895192738,85.73,TRAIL_SL
short,2021-03-04 10:05:00+05:30,2021-03-04 10:30:00+05:30,15051.4,15075.83763635305,15075.83763635305,-24.44,STOP_LOSS
long,2021-03-04 12:00:00+05:30,2021-03-04 15:00:00+05:30,15136.45,15110.777070360371,15110.777070360371,-25.67,STOP_LOSS
short,2021-03-05 10:00:00+05:30,2021-03-05 10:05:00+05:30,15044.4,15072.029328510358,15072.029328510358,-27.63,STOP_LOSS
short,2021-03-05 10:30:00+05:30,2021-03-05 11:05:00+05:30,15038.05,14983.545003774287,14983.545003774287,54.5,TRAIL_SL
short,2021-03-05 11:20:00+05:30,2021-03-05 11:30:00+05:30,15007.95,15031.234390677148,15031.234390677148,-23.28,STOP_LOSS
short,2021-03-08 13:30:00+05:30,2021-03-08 14:15:00+05:30,14989.35,15003.916840600426,15003.916840600426,-14.57,STOP_LOSS
long,2021-03-09 10:15:00+05:30,2021-03-09 12:25:00+05:30,15065.45,15036.82229992435,15036.82229992435,-28.63,STOP_LOSS
short,2021-03-09 13:35:00+05:30,2021-03-09 14:20:00+05:30,14983.5,15001.008255368259,15001.008255368259,-17.51,STOP_LOSS
long,2021-03-10 10:20:00+05:30,2021-03-10 10:30:00+05:30,15177.75,15156.015307706517,15156.015307706517,-21.73,STOP_LOSS
long,2021-03-10 10:50:00+05:30,2021-03-10 10:55:00+05:30,15161.8,15143.172127087459,15143.172127087459,-18.63,STOP_LOSS
long,2021-03-10 14:30:00+05:30,2021-03-10 15:15:00+05:30,15176.55,15181.2,15159.36719387531,4.65,EOD_EXIT
long,2021-03-12 10:35:00+05:30,2021-03-12 12:10:00+05:30,15281.9,15261.430542895536,15261.430542895536,-20.47,STOP_LOSS
short,2021-03-15 10:15:00+05:30,2021-03-15 11:25:00+05:30,14882.9,14810.060236148835,14810.060236148835,72.84,TRAIL_SL
short,2021-03-15 12:10:00+05:30,2021-03-15 13:10:00+05:30,14821.65,14765.334489813244,14765.334489813244,56.32,TRAIL_SL
short,2021-03-15 13:25:00+05:30,2021-03-15 13:35:00+05:30,14776.75,14792.655925766816,14792.655925766816,-15.91,STOP_LOSS
short,2021-03-16 13:40:00+05:30,2021-03-16 15:15:00+05:30,14936.2,14903.3,14955.179712291985,32.9,EOD_EXIT
short,2021-03-17 10:05:00+05:30,2021-03-17 11:25:00+05:30,14902.5,14917.467080424816,14917.467080424816,-14.97,STOP_LOSS
short,2021-03-17 13:20:00+05:30,2021-03-17 14:55:00+05:30,14841.35,14790.741094152903,14790.741094152903,50.61,TRAIL_SL
short,2021-03-18 14:35:00+05:30,2021-03-18 15:10:00+05:30,14551.5,14579.370536301582,14579.370536301582,-27.87,STOP_LOSS
short,2021-03-22 13:10:00+05:30,2021-03-22 13:35:00+05:30,14625.95,14640.440096969243,14640.440096969243,-14.49,STOP_LOSS
long,2021-03-23 10:00:00+05:30,2021-03-23 10:10:00+05:30,14799.15,14773.330056223374,14773.330056223374,-25.82,STOP_LOSS
long,2021-03-23 10:40:00+05:30,2021-03-23 11:30:00+05:30,14783.45,14759.006742842335,14759.006742842335,-24.44,STOP_LOSS
long,2021-03-23 14:00:00+05:30,2021-03-23 14:45:00+05:30,14798.05,14864.22428337464,14864.22428337464,66.17,TRAIL_SL
short,2021-03-24 11:40:00+05:30,2021-03-24 11:50:00+05:30,14615.6,14631.86007091868,14631.86007091868,-16.26,STOP_LOSS
short,2021-03-25 10:05:00+05:30,2021-03-25 11:20:00+05:30,14444.15,14381.708538434239,14381.708538434239,62.44,TRAIL_SL
short,2021-03-25 11:20:00+05:30,2021-03-25 12:10:00+05:30,14385.2,14313.003921304376,14313.003921304376,72.2,TRAIL_SL
short,2021-03-25 13:15:00+05:30,2021-03-25 13:25:00+05:30,14307.0,14323.892949125186,14323.892949125186,-16.89,STOP_LOSS
long,2021-03-30 11:25:00+05:30,2021-03-30 12:05:00+05:30,14759.95,14742.30120087518,14742.30120087518,-17.65,STOP_LOSS
long,2021-03-30 14:45:00+05:30,2021-03-30 15:15:00+05:30,14849.4,14846.1,14827.473608873708,-3.3,EOD_EXIT
long,2021-04-01 10:15:00+05:30,2021-04-01 10:35:00+05:30,14773.2,14750.167506905425,14750.167506905425,-23.03,STOP_LOSS
short,2021-04-01 11:10:00+05:30,2021-04-01 12:05:00+05:30,14727.6,14741.18226433735,14741.18226433735,-13.58,STOP_LOSS
long,2021-04-01 13:50:00+05:30,2021-04-01 15:15:00+05:30,14805.35,14871.5,14785.553115028393,66.15,EOD_EXIT
short,2021-04-05 11:45:00+05:30,2021-04-05 12:15:00+05:30,14516.55,14541.05494857259,14541.05494857259,-24.5,STOP_LOSS
long,2021-04-06 11:30:00+05:30,2021-04-06 11:45:00+05:30,14746.1,14722.847170046296,14722.847170046296,-23.25,STOP_LOSS
