direction,entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
long,2023-10-19 11:25:00+05:30,2023-10-19 13:15:00+05:30,19640.85,19626.35,20.75,-14.5,ST_TRAIL
long,2023-10-19 14:00:00+05:30,2023-10-19 14:25:00+05:30,19675.35,19641.35,0.0,-34.0,ST_TRAIL
short,2023-10-23 10:15:00+05:30,2023-10-23 11:55:00+05:30,19484.45,19480.25,25.9,4.2,ST_TRAIL
short,2023-10-23 13:10:00+05:30,2023-10-23 15:15:00+05:30,19433.75,19281.7,161.05,152.05,EOD_EXIT
short,2023-10-25 10:50:00+05:30,2023-10-25 13:55:00+05:30,19294.45,19154.85,213.65,139.6,ST_TRAIL
short,2023-10-26 09:50:00+05:30,2023-10-26 13:10:00+05:30,18935.35,18891.65,82.05,43.7,ST_TRAIL
short,2023-10-26 13:30:00+05:30,2023-10-26 14:45:00+05:30,18858.95,18890.9,4.9,-31.95,ST_TRAIL
long,2023-10-27 11:30:00+05:30,2023-10-27 12:25:00+05:30,19032.9,19023.4,20.2,-9.5,ST_TRAIL
long,2023-10-27 13:35:00+05:30,2023-10-27 15:10:00+05:30,19038.5,19036.85,34.65,-1.65,ST_TRAIL
short,2023-10-30 09:40:00+05:30,2023-10-30 10:10:00+05:30,18946.5,19010.9,0.0,-64.4,STOP_LOSS
long,2023-10-30 10:15:00+05:30,2023-10-30 14:00:00+05:30,19035.4,19106.65,100.55,71.25,ST_TRAIL
short,2023-11-01 10:00:00+05:30,2023-11-01 13:40:00+05:30,19026.15,19033.45,24.5,-7.3,ST_TRAIL
long,2023-11-02 09:40:00+05:30,2023-11-02 10:35:00+05:30,19165.05,19120.55,0.0,-44.5,ST_TRAIL
long,2023-11-03 10:55:00+05:30,2023-11-03 11:50:00+05:30,19270.45,19246.5,2.0,-23.95,ST_TRAIL
long,2023-11-03 14:30:00+05:30,2023-11-03 14:35:00+05:30,19250.25,19242.5,0.0,-7.75,ST_TRAIL
long,2023-11-06 10:05:00+05:30,2023-11-06 10:50:00+05:30,19352.4,19334.15,14.8,-18.25,ST_TRAIL
long,2023-11-06 13:35:00+05:30,2023-11-06 15:15:00+05:30,19361.35,19415.9,55.15,54.55,EOD_EXIT
short,2023-11-07 09:40:00+05:30,2023-11-07 10:35:00+05:30,19366.25,19385.3,15.5,-19.05,ST_TRAIL
long,2023-11-07 14:00:00+05:30,2023-11-07 15:15:00+05:30,19405.25,19411.5,6.25,6.25,EOD_EXIT
long,2023-11-08 13:10:00+05:30,2023-11-08 14:10:00+05:30,19448.05,19441.4,14.8,-6.65,ST_TRAIL
long,2023-11-09 11:30:00+05:30,2023-11-09 13:05:00+05:30,19450.6,19426.2,8.45,-24.4,ST_TRAIL
short,2023-11-09 13:45:00+05:30,2023-11-09 15:15:00+05:30,19416.15,19398.45,23.05,17.7,EOD_EXIT
short,2023-11-10 10:00:00+05:30,2023-11-10 10:35:00+05:30,19342.85,19373.9,0.0,-31.05,ST_TRAIL
