direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
short,B,2026-02-12 10:00:00+05:30,2026-02-12 14:50:00+05:30,25871.099609375,25775.400390625,25886.42059520795,25772.305442681463,True,95.7,118.7,11.5,112.1,TRAIL_SL,290,4H:50M,-95.6992,-0.2,-0.276559,0.0008,-10.0,6.0,11.73,11.73,0.0,22.4368,0.0,274.7502,-7.7333,0.0,14.7035,14.7035,1102.76,50.0,1052.76,-36.0653
short,C,2026-02-13 09:30:00+05:30,2026-02-13 12:20:00+05:30,25547.69921875,25580.30078125,25580.021972107763,25580.021972107763,False,-32.6,34.15,36.6,21.45,STOP_LOSS,170,2H:50M,32.6016,-0.2,-0.173919,0.0008,-10.0,6.0,13.29,13.29,0.0,-6.1377,0.0,31.8859,-4.5333,0.0,-10.671,-10.671,-800.33,50.0,-850.33,-21.7229
long,C,2026-02-16 12:35:00+05:30,2026-02-16 14:50:00+05:30,25574.599609375,25651.349609375,25553.08652211157,25651.946077135177,True,76.75,94.35,29.75,90.4,TRAIL_SL,135,2H:15M,76.75,0.2,0.2614,0.0008,-10.0,6.0,13.33,13.33,0.0,17.4706,0.0,176.7169,-3.6,0.0,13.8706,13.8706,1040.3,50.0,990.3,17.3948
long,C,2026-02-17 10:10:00+05:30,2026-02-17 11:55:00+05:30,25679.25,25729.44921875,25649.01964564191,25729.73883235039,True,50.2,66.1,36.5,62.35,TRAIL_SL,105,1H:45M,50.1992,0.2,0.240159,0.0008,-10.0,6.0,12.67,12.67,0.0,10.947,0.0,75.5988,-2.8,0.0,8.147,8.147,611.03,50.0,561.03,13.6285
long,C,2026-02-17 11:55:00+05:30,2026-02-17 13:55:00+05:30,25729.44921875,25698.849609375,25706.29835107401,25706.29835107401,False,-30.6,34.45,32.7,30.0,STOP_LOSS,120,2H:00M,-30.5996,0.2,0.17552,0.0008,-10.0,6.0,12.67,12.67,0.0,-5.7828,0.0,28.0901,-3.2,0.0,-8.9828,-8.9828,-673.71,50.0,-723.71,15.5184
long,C,2026-02-19 09:30:00+05:30,2026-02-19 09:55:00+05:30,25804.30078125,25772.849609375,25775.17468323613,25775.17468323613,False,-31.45,16.9,34.45,4.95,STOP_LOSS,25,0H:25M,-31.4512,0.2,0.174839,0.0008,-10.0,6.0,13.46,13.46,0.0,-5.9341,0.0,29.6753,-0.6667,0.0,-6.6008,-6.6008,-495.06,50.0,-545.06,3.3114
short,C,2026-02-19 10:30:00+05:30,2026-02-19 12:20:00+05:30,25739.5,25633.349609375,25756.426595578163,25615.78149316432,True,106.15,152.65,6.5,136.0,TRAIL_SL,110,1H:50M,-106.1504,-0.2,-0.28492,0.0008,-10.0,6.0,13.46,13.46,0.0,25.2865,0.0,338.0372,-2.9333,0.0,22.3532,22.3532,1676.49,50.0,1626.49,-14.26
short,B,2026-02-19 12:20:00+05:30,2026-02-19 14:10:00+05:30,25633.349609375,25571.400390625,25650.59571007511,25566.872934945008,True,61.95,87.85,2.9,80.85,TRAIL_SL,110,1H:50M,-61.9492,-0.2,-0.249559,0.0008,-10.0,6.0,13.46,13.46,0.0,13.7714,0.0,115.1312,-2.9333,0.0,10.8381,10.8381,812.86,50.0,762.86,-14.26
short,B,2026-02-20 09:30:00+05:30,2026-02-20 09:45:00+05:30,25466.349609375,25507.900390625,25504.534587549195,25504.534587549195,False,-41.55,16.0,48.4,0.0,STOP_LOSS,15,0H:15M,41.5508,-0.2,-0.166759,0.0008,-10.0,6.0,14.36,14.36,0.0,-7.6886,0.0,51.794,-0.4,0.0,-8.0886,-8.0886,-606.65,50.0,-656.65,-1.9921
long,C,2026-02-20 10:30:00+05:30,2026-02-20 12:35:00+05:30,25570.849609375,25632.75,25527.622544461417,25640.532857289436,True,61.9,92.5,10.1,82.6,TRAIL_SL,125,2H:05M,61.9004,0.2,0.24952,0.0008,-10.0,6.0,14.36,14.36,0.0,13.7595,0.0,114.9498,-3.3333,0.0,10.4261,10.4261,781.96,50.0,731.96,16.1453
long,A,2026-02-20 12:35:00+05:30,2026-02-20 12:40:00+05:30,25632.75,25606.80078125,25608.13354645035,25608.13354645035,False,-25.95,4.2,27.8,0.0,STOP_LOSS,5,0H:05M,-25.9492,0.2,0.179241,0.0008,-10.0,6.0,14.36,14.36,0.0,-4.9474,0.0,20.2009,-0.1333,0.0,-5.0808,-5.0808,-381.06,50.0,-431.06,0.6658
long,A,2026-02-20 12:45:00+05:30,2026-02-20 13:05:00+05:30,25608.55078125,25561.94921875,25579.959693639375,25579.959693639375,False,-46.6,5.15,47.75,3.7,STOP_LOSS,20,0H:20M,-46.6016,0.2,0.162719,0.0008,-10.0,6.0,14.36,14.36,0.0,-8.5385,0.0,65.1512,-0.5333,0.0,-9.0718,-9.0718,-680.39,50.0,-730.39,2.6526
long,C,2026-02-23 09:30:00+05:30,2026-02-23 10:35:00+05:30,25740.5,25689.55078125,25692.74677596243,25692.74677596243,False,-50.95,27.75,56.35,0.9,STOP_LOSS,65,1H:05M,-50.9492,0.2,0.159241,0.0008,-10.0,6.0,14.17,14.17,0.0,-9.2553,0.0,77.8747,-1.7333,0.0,-10.9887,-10.9887,-824.15,50.0,-874.15,8.5214
short,C,2026-02-24 09:30:00+05:30,2026-02-24 12:55:00+05:30,25513.900390625,25404.69921875,25540.238361413016,25404.634937375176,True,109.2,126.45,21.7,121.35,TRAIL_SL,205,3H:25M,-109.2012,-0.2,-0.287361,0.0008,-10.0,6.0,14.15,14.15,0.0,26.1332,0.0,357.7469,-5.4667,0.0,20.6665,20.6665,1549.99,50.0,1499.99,-25.9831
