direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,adx_tier,be_triggered,micro_triggered,pnl,mfe_pts,mae_pts,exit_reason
long,2025-08-18 10:25:00+05:30,2025-08-18 11:30:00+05:30,24975.45,24947.904558483082,24947.904558483082,24947.904558483082,3,False,False,-27.55,21.1,35.45,STOP_LOSS
short,2025-08-22 11:05:00+05:30,2025-08-22 11:40:00+05:30,24923.65,24935.658727680744,24935.658727680744,24935.658727680744,3,False,False,-12.01,30.55,14.25,STOP_LOSS
short,2025-08-26 10:15:00+05:30,2025-08-26 10:55:00+05:30,24802.9,24784.80625305741,24820.6046519975,24784.80625305741,3,True,False,18.09,37.75,5.65,TRAIL_SL
long,2025-09-02 10:30:00+05:30,2025-09-02 13:00:00+05:30,24718.45,24740.398915198686,24694.515645708332,24740.398915198686,3,True,False,21.95,37.65,9.65,TRAIL_SL
short,2025-09-03 09:45:00+05:30,2025-09-03 10:00:00+05:30,24566.55,24590.182486767735,24590.182486767735,24590.182486767735,2,False,False,-23.63,0.0,35.05,STOP_LOSS
long,2025-09-03 14:40:00+05:30,2025-09-03 15:25:00+05:30,24660.75,24717.538081080605,24644.29848358514,24717.538081080605,3,True,False,56.79,76.3,1.85,TRAIL_SL
long,2025-09-08 10:05:00+05:30,2025-09-08 12:40:00+05:30,24810.95,24858.5579218551,24782.035400969606,24858.5579218551,2,True,True,47.61,55.7,46.0,TRAIL_SL
long,2025-09-16 10:40:00+05:30,2025-09-16 13:10:00+05:30,25163.95,25192.225962000313,25150.291845051837,25192.225962000313,3,True,False,28.28,39.05,16.15,TRAIL_SL
long,2025-09-17 10:10:00+05:30,2025-09-17 15:10:00+05:30,25314.15,25328.3,25293.297291377905,25293.297291377905,3,False,False,14.15,32.35,34.3,EOD_KILL_NON_TRAIL
long,2025-09-18 10:10:00+05:30,2025-09-18 12:40:00+05:30,25408.0,25386.865765640203,25386.865765640203,25386.865765640203,3,False,False,-21.13,34.4,39.05,STOP_LOSS
short,2025-09-18 14:40:00+05:30,2025-09-18 14:45:00+05:30,25352.5,25366.259081018714,25366.259081018714,25366.259081018714,2,False,False,-13.76,1.25,35.05,STOP_LOSS
short,2025-09-19 10:20:00+05:30,2025-09-19 12:10:00+05:30,25330.2,25301.142930030997,25344.179869328356,25301.142930030997,3,True,False,29.06,43.9,15.05,TRAIL_SL
short,2025-09-23 10:05:00+05:30,2025-09-23 10:25:00+05:30,25161.4,25124.958492526042,25180.23018644878,25124.958492526042,2,True,True,36.44,50.4,1.85,TRAIL_SL
short,2025-09-23 10:35:00+05:30,2025-09-23 11:20:00+05:30,25137.95,25095.57635713663,25154.341140205008,25095.57635713663,2,True,True,42.37,53.3,1.2,TRAIL_SL
short,2025-09-24 09:55:00+05:30,2025-09-24 11:10:00+05:30,25091.95,25038.931917286252,25111.124572185996,25038.931917286252,2,True,True,53.02,64.5,22.15,TRAIL_SL
short,2025-09-24 11:25:00+05:30,2025-09-24 11:45:00+05:30,25064.05,25076.398915545993,25076.398915545993,25076.398915545993,3,False,False,-12.35,2.25,16.05,STOP_LOSS
short,2025-09-25 10:20:00+05:30,2025-09-25 10:50:00+05:30,25042.3,25010.25234214243,25057.48402668205,25010.25234214243,2,True,True,32.05,42.8,11.5,TRAIL_SL
short,2025-09-26 14:35:00+05:30,2025-09-26 15:10:00+05:30,24656.6,24644.5,24672.74481465301,24672.74481465301,3,False,False,12.1,26.25,18.05,EOD_KILL_NON_TRAIL
long,2025-10-01 12:35:00+05:30,2025-10-01 12:55:00+05:30,24777.1,24753.899118582474,24753.899118582474,24753.899118582474,2,False,False,-23.2,4.15,30.05,STOP_LOSS
long,2025-10-01 14:55:00+05:30,2025-10-01 15:10:00+05:30,24835.35,24822.5,24807.301410291508,24807.301410291508,2,False,False,-12.85,13.45,15.05,EOD_KILL_LOSER
long,2025-10-07 10:30:00+05:30,2025-10-07 11:15:00+05:30,25172.0,25147.895130485485,25147.895130485485,25147.895130485485,3,False,False,-24.1,13.95,31.75,STOP_LOSS
short,2025-10-08 11:55:00+05:30,2025-10-08 12:25:00+05:30,25051.05,25020.588233903993,25065.427433510587,25020.588233903993,2,True,True,30.46,42.55,1.15,TRAIL_SL
long,2025-10-10 10:05:00+05:30,2025-10-10 10:20:00+05:30,25256.65,25285.946577023446,25229.399838374266,25285.946577023446,2,True,True,29.3,43.45,7.9,TRAIL_SL
long,2025-10-10 10:35:00+05:30,2025-10-10 11:05:00+05:30,25272.15,25297.523273596016,25247.874545019564,25297.523273596016,2,True,True,25.37,37.15,14.4,TRAIL_SL
long,2025-10-10 11:20:00+05:30,2025-10-10 13:55:00+05:30,25290.4,25310.362880040335,25266.7406742588,25310.362880040335,3,True,False,19.96,40.35,23.55,TRAIL_SL
short,2025-10-14 11:50:00+05:30,2025-10-14 12:10:00+05:30,25152.4,25115.223182532052,25167.605804930026,25115.223182532052,2,True,True,37.18,50.7,16.8,TRAIL_SL
short,2025-10-14 12:55:00+05:30,2025-10-14 13:30:00+05:30,25098.1,25115.00526944452,25115.00526944452,25115.00526944452,3,False,False,-16.91,32.45,31.35,STOP_LOSS
