direction,entry_time,exit_time,entry_price,exit_price,sl_initial,sl_final,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
long,2025-09-23 12:25:00+05:30,2025-09-23 12:40:00+05:30,25156.4,25204.029754936404,25136.662897759652,25204.029754936404,True,47.63,67.4,1.7,TRAIL_SL,14888,14891
short,2025-09-24 14:30:00+05:30,2025-09-24 14:35:00+05:30,25075.15,25086.728736990277,25086.728736990277,25086.728736990277,False,-11.58,2.2,26.7,STOP_LOSS,14988,14989
short,2025-09-26 13:25:00+05:30,2025-09-26 14:10:00+05:30,24735.45,24660.832818746036,24747.70064813595,24660.832818746036,True,74.62,97.05,2.05,TRAIL_SL,15125,15134
long,2025-09-29 09:40:00+05:30,2025-09-29 11:30:00+05:30,24750.8,24720.206081381242,24720.206081381242,24720.206081381242,False,-30.59,40.5,45.55,STOP_LOSS,15155,15177
short,2025-09-29 11:35:00+05:30,2025-09-29 13:10:00+05:30,24670.8,24686.62471390378,24686.62471390378,24686.62471390378,False,-15.82,64.6,17.95,STOP_LOSS,15178,15197
long,2025-10-01 09:35:00+05:30,2025-10-01 10:00:00+05:30,24669.8,24643.432499436112,24643.432499436112,24643.432499436112,False,-26.37,24.25,36.0,STOP_LOSS,15304,15309
short,2025-10-07 14:35:00+05:30,2025-10-07 14:45:00+05:30,25140.5,25157.644268376946,25157.644268376946,25157.644268376946,False,-17.14,17.2,22.4,STOP_LOSS,15589,15591
long,2025-10-08 13:05:00+05:30,2025-10-08 14:05:00+05:30,25096.3,25072.46066233879,25072.46066233879,25072.46066233879,False,-23.84,38.05,34.1,STOP_LOSS,15646,15658
short,2025-10-14 10:00:00+05:30,2025-10-14 10:40:00+05:30,25194.7,25214.956318686603,25214.956318686603,25214.956318686603,False,-20.26,29.95,29.4,STOP_LOSS,15909,15917
short,2025-10-15 14:45:00+05:30,2025-10-15 14:50:00+05:30,25298.85,25312.657521715177,25312.657521715177,25312.657521715177,False,-13.81,11.75,18.35,STOP_LOSS,16041,16042
long,2025-10-16 09:30:00+05:30,2025-10-16 12:45:00+05:30,25433.35,25502.599270043305,25404.251097228927,25502.599270043305,True,69.25,83.35,21.35,TRAIL_SL,16053,16092
short,2025-10-17 13:00:00+05:30,2025-10-17 14:15:00+05:30,25674.85,25696.363226353307,25696.363226353307,25696.363226353307,False,-21.51,54.4,34.25,STOP_LOSS,16170,16185
long,2025-10-23 09:30:00+05:30,2025-10-23 13:30:00+05:30,26078.3,26024.400359675874,26024.400359675874,26024.400359675874,False,-53.9,25.9,58.0,STOP_LOSS,16290,16338
short,2025-10-27 13:15:00+05:30,2025-10-27 13:50:00+05:30,25940.0,25952.40557500409,25952.40557500409,25952.40557500409,False,-12.41,21.6,26.1,STOP_LOSS,16485,16492
short,2025-10-28 10:05:00+05:30,2025-10-28 12:50:00+05:30,25907.2,25932.44599356107,25932.44599356107,25932.44599356107,False,-25.25,81.05,38.45,STOP_LOSS,16522,16555
long,2025-11-07 11:30:00+05:30,2025-11-07 13:50:00+05:30,25461.25,25528.91902965386,25434.520890465785,25528.91902965386,True,67.67,90.0,36.15,TRAIL_SL,17064,17092
long,2025-11-13 10:20:00+05:30,2025-11-13 11:30:00+05:30,25913.2,25961.607958769604,25888.279569636437,25961.607958769604,True,48.41,65.3,8.1,TRAIL_SL,17350,17364
long,2025-11-18 11:45:00+05:30,2025-11-18 12:20:00+05:30,25972.85,25954.870166086504,25954.870166086504,25954.870166086504,False,-17.98,10.35,29.2,STOP_LOSS,17592,17599
long,2025-11-21 12:10:00+05:30,2025-11-21 13:40:00+05:30,26123.9,26106.044454264524,26106.044454264524,26106.044454264524,False,-17.86,55.3,22.55,STOP_LOSS,17822,17840
short,2025-11-21 14:55:00+05:30,2025-11-21 15:00:00+05:30,26070.35,26078.5,26083.8352044386,26083.8352044386,False,-8.15,4.6,14.0,SOFT_EOD_EXIT,17855,17856
long,2025-11-26 09:45:00+05:30,2025-11-26 10:50:00+05:30,26049.2,26110.033693618814,26015.06617182654,26110.033693618814,True,60.83,81.7,0.9,TRAIL_SL,18018,18031
short,2025-12-01 14:50:00+05:30,2025-12-01 15:00:00+05:30,26139.1,26152.792556632612,26152.792556632612,26152.792556632612,False,-13.69,14.9,41.45,STOP_LOSS,18304,18306
short,2025-12-03 09:30:00+05:30,2025-12-03 12:15:00+05:30,25933.55,25955.02854629126,25955.02854629126,25955.02854629126,False,-21.48,42.55,32.7,STOP_LOSS,18390,18423
long,2025-12-03 12:15:00+05:30,2025-12-03 12:30:00+05:30,25963.7,25944.06649496841,25944.06649496841,25944.06649496841,False,-19.63,3.15,30.35,STOP_LOSS,18423,18426
short,2025-12-08 09:35:00+05:30,2025-12-08 12:20:00+05:30,26120.0,26044.402245737,26137.299479512985,26044.402245737,True,75.6,88.15,15.5,TRAIL_SL,18616,18649
long,2025-12-10 09:35:00+05:30,2025-12-10 09:55:00+05:30,25908.5,25878.40948622212,25878.40948622212,25878.40948622212,False,-30.09,11.7,31.85,STOP_LOSS,18766,18770
long,2025-12-11 10:10:00+05:30,2025-12-11 12:35:00+05:30,25807.75,25894.185318673965,25764.687327885007,25894.185318673965,True,86.44,111.45,43.25,TRAIL_SL,18848,18877
long,2025-12-15 11:50:00+05:30,2025-12-15 15:00:00+05:30,26007.55,26024.3,25986.609274528382,25986.609274528382,False,16.75,39.6,17.4,SOFT_EOD_EXIT,19018,19056
short,2025-12-16 09:30:00+05:30,2025-12-16 09:45:00+05:30,25916.7,25932.489754047634,25932.489754047634,25932.489754047634,False,-15.79,15.05,26.25,STOP_LOSS,19065,19068
short,2025-12-18 09:40:00+05:30,2025-12-18 10:05:00+05:30,25745.1,25763.091087976347,25763.091087976347,25763.091087976347,False,-17.99,18.8,30.25,STOP_LOSS,19217,19222
long,2025-12-19 09:30:00+05:30,2025-12-19 11:30:00+05:30,25963.5,25929.90084843072,25929.90084843072,25929.90084843072,False,-33.6,15.75,37.2,STOP_LOSS,19290,19314
short,2025-12-19 11:40:00+05:30,2025-12-19 12:00:00+05:30,25913.4,25924.736465224014,25924.736465224014,25924.736465224014,False,-11.34,7.8,29.2,STOP_LOSS,19316,19320
short,2025-12-23 09:40:00+05:30,2025-12-23 09:45:00+05:30,26124.5,26137.683684210173,26137.683684210173,26137.683684210173,False,-13.18,5.45,18.65,STOP_LOSS,19442,19443
short,2025-12-23 14:40:00+05:30,2025-12-23 14:55:00+05:30,26167.2,26182.74789294678,26182.74789294678,26182.74789294678,False,-15.55,8.5,24.45,STOP_LOSS,19502,19505
long,2025-12-30 10:20:00+05:30,2025-12-30 10:45:00+05:30,25968.7,25944.948532902607,25944.948532902607,25944.948532902607,False,-23.75,7.15,31.55,STOP_LOSS,19750,19755
short,2026-01-02 14:30:00+05:30,2026-01-02 15:00:00+05:30,26285.65,26294.719206849863,26294.719206849863,26294.719206849863,False,-9.07,19.8,29.75,STOP_LOSS,20025,20031
long,2026-01-05 10:20:00+05:30,2026-01-05 11:20:00+05:30,26367.7,26337.78879144573,26337.78879144573,26337.78879144573,False,-29.91,5.5,47.3,STOP_LOSS,20050,20062
short,2026-01-08 09:30:00+05:30,2026-01-08 09:35:00+05:30,26060.7,26078.487361450796,26078.487361450796,26078.487361450796,False,-17.79,7.45,35.2,STOP_LOSS,20265,20266
long,2026-01-12 12:15:00+05:30,2026-01-12 13:00:00+05:30,25601.3,25705.489337160343,25565.63012174744,25705.489337160343,True,104.19,137.1,0.25,TRAIL_SL,20448,20457
long,2026-01-13 14:50:00+05:30,2026-01-13 15:00:00+05:30,25713.9,25706.2,25677.67698525479,25677.67698525479,False,-7.7,43.25,23.1,SOFT_EOD_EXIT,20554,20556
short,2026-01-16 12:25:00+05:30,2026-01-16 14:10:00+05:30,25752.05,25686.807215687153,25771.145663541643,25686.807215687153,True,65.24,89.65,22.55,TRAIL_SL,20675,20696
long,2026-01-21 12:20:00+05:30,2026-01-21 12:25:00+05:30,25185.85,25141.99846870772,25141.99846870772,25141.99846870772,False,-43.85,0.75,67.35,STOP_LOSS,20899,20900
long,2026-01-22 09:30:00+05:30,2026-01-22 10:15:00+05:30,25406.65,25350.588293091427,25350.588293091427,25350.588293091427,False,-56.06,29.1,65.35,STOP_LOSS,20940,20949
